Name,Section,Category,Phase,Status,Priority,Owner,Start Date,Due Date,Duration (days),Progress,Dependencies,Notes,Stakeholders
Theory of Change & Logic Model,Program Design,Program Design & Strategy,Phase 2: Design,Completed,🟠 High,Andrea,2025-09-01,2025-09-30,29,100,,Comprehensive theory of change documented in Program Design.md. Includes inputs → activities → outputs → outcomes → impact flow with Mermaid diagram.,"ReFi BCN, Miceli Social, La Fundició"
Stakeholder Ecosystem Mapping,Stakeholders,Program Design & Strategy,Phase 1: Alignment,Completed,🟠 High,Luiz,2025-07-15,2025-08-31,47,100,,Complete stakeholder map created showing all partners roles contributions and relationships. Includes local anchors (Miceli €6k La Fundició €5k) global partners (Celo Gitcoin ETH Foundation) and advisory structure.,All
Project Cohort Selection & Documentation,Participating Projects,Program Design & Strategy,Phase 2: Design,In Progress,🔴 Critical,Giulio,2025-09-01,2025-10-09,38,92,,"11 of 12 projects confirmed and documented. Final project (ReFi BCN selection) needs decision between: Fundació Emprius, Arran de Terra, or Decolonizing Permaculture. Urgent action required Oct 9.","ReFi BCN, Miceli Social, La Fundició"
Funding Architecture Design,Local Fundraising & Funds Usage,Program Design & Strategy,Phase 2: Design,In Progress,🔴 Critical,Luiz,2025-09-01,2025-10-10,39,70,,"Two-phase distribution model designed (~50%/~50% split). Final decision needed with partners on exact percentages and Phase 2 criteria. Decision meeting scheduled Oct 10 with Oriol (Miceli) and Mariló (La Fundició).","ReFi BCN, Miceli Social, La Fundició, Advisory Council"
Technology Stack Definition,Mechanisms & Tooling,Program Design & Strategy,Phase 2: Design,Completed,🟠 High,Luiz,2025-09-01,2025-09-28,27,100,,Complete tech stack defined. Required tools: Karma GAP Celo wallets Safe Multisig. Optional: Silvi Hypercerts Gainforest Sarafu Kokonut. Program management: Notion + WhatsApp.,"ReFi BCN, Global Partners, Projects"
Impact Measurement Framework,Impact Measurement & On-Chain Activity,Program Design & Strategy,Phase 2: Design,In Progress,🟠 High,Andrea,2025-09-15,2025-11-15,61,80,Advisory Council finalized,"Framework adapted from Regen Coordination GG23 methodology. Three-tier evaluation process designed. Criteria defined: Ecological (25%) Social (25%) Economic (20%) Network (15%) Web3 (15%). Detailed rubrics to be finalized with advisory council in November.","ReFi BCN, Advisory Council, Regen Coordination"
Capacity Building Program Design,Program Scope & Theory of Change,Program Design & Strategy,Phase 2: Design,Completed,🟡 Medium,Andrea,2025-09-01,2025-09-30,29,90,,4-workshop series designed: (1) Web3 Fundamentals (2) Impact Measurement (3) Collaborative Governance (4) Future Funding. Mentorship program structured. Detailed content development scheduled for late October.,"ReFi BCN, Global Partners, Projects"
Local Partner Agreement - Miceli Social,Stakeholders,Stakeholder Management & Partnerships,Phase 2: Design,In Progress,🔴 Critical,Luiz,2025-09-01,2025-10-11,40,60,,"€6000 commitment verbally confirmed. Formal partnership MOU needs drafting and signature. Template prepared needs customization and review. Covers: funding amount payment timeline roles decision-making impact reporting recognition.","ReFi BCN, Miceli Social"
Local Partner Agreement - La Fundició,Stakeholders,Stakeholder Management & Partnerships,Phase 2: Design,In Progress,🔴 Critical,Luiz,2025-09-01,2025-10-11,40,60,,"€5000 commitment verbally confirmed. Formal partnership MOU needs drafting and signature. Template prepared needs customization and review. Same structure as Miceli agreement.","ReFi BCN, La Fundició"
Global Partner Written Confirmations,Stakeholders,Stakeholder Management & Partnerships,Phase 2: Design,In Progress,🔴 Critical,Luiz,2025-09-15,2025-10-10,25,70,,~$20000 matching funds from Celo Public Goods Gitcoin Ethereum Foundation. Verbal commitments secured. Need written confirmations for public announcement and financial planning. Email outreach scheduled Oct 9.,"Celo, Gitcoin, Ethereum Foundation, Regen Coordination"
Advisory Council Finalization,Team Experience & Delivery Capability,Stakeholder Management & Partnerships,Phase 2: Design,In Progress,🟠 High,Giulio,2025-09-20,2025-10-10,20,40,,"2 of 5 advisors confirmed: Oriol (Miceli) Mariló (La Fundició). Pending: Oscar/Erika Clara Gromaches Arran de Terra rep. Formal invitation with time commitments (3-4 hrs/month) drafted. Sending Oct 9 with Oct 10 response deadline.","ReFi BCN, Local Partners"
Project Onboarding & Communication,Participating Projects,Stakeholder Management & Partnerships,Phase 3: Launch,Not Started,🟠 High,Giulio,2025-10-13,2025-10-13,0,0,WhatsApp groups created,Create comprehensive onboarding package for 12 projects including: launch day guide promotion templates social media content Q&A resources. Distribute via WhatsApp group. Schedule for Oct 13.,All 12 Projects
Partner Coordination for Launch,Stakeholders,Stakeholder Management & Partnerships,Phase 3: Launch,Not Started,🟠 High,Luiz,2025-10-14,2025-10-14,0,0,Partnership agreements completed,Coordinate synchronized announcements on launch day with all partners: Miceli Social La Fundició Celo Gitcoin Ethereum Foundation Regen Coordination. Prepare announcement templates and timing schedule.,All Partners
Safe Multisig Wallet Setup,Mechanisms & Tooling,Technical Infrastructure,Phase 2: Design,Not Started,🔴 Critical,Luiz,2025-10-09,2025-10-09,0,0,,"URGENT - Create Safe Multisig on Celo network. Signers: Luiz Giulio Miceli rep La Fundició rep [1 advisor]. Threshold: 3 of 5 signatures. Test with small transaction. Document wallet address for all materials. BLOCKS ALL FINANCIAL FLOWS.","ReFi BCN, Miceli Social, La Fundició"
Gitcoin Platform Registration,Mechanisms & Tooling,Technical Infrastructure,Phase 2: Design,Not Started,🔴 Critical,Giulio,2025-10-11,2025-10-12,1,0,"Project 12 finalized, Wallet addresses","URGENT - Register Regenerant Catalunya program and all 12 projects on Gitcoin. Each project needs: 300-word description funding goal team info social links 3-5 images wallet address. Platform opens ~Oct 5. Target: 6 projects Oct 11 6 projects Oct 12. Test donation flows.","ReFi BCN, All Projects"
